,text
530,"RT @fab_oficial: #OperaçãoCOVID19 🇧🇷
Do dia 08 a 29/1, a FAB soma mais de 915 horas de voo em apoio à Operação COVID-19. Já foram transportados 968 toneladas de carga e 349 pacientes, transferidos para outros estados.
 A missão continua. ✈️

@DefesaGovBr 
#FAB #Dimensão22 #FAB80anos #FAB24hNoAr https://t.co/AI5WNHnIIp"
531,"- Arquipélago de Marajó e as realizações da Ministra @DamaresAlves .
- Sim, estamos no Marajó/PA.

Ministério da Mulher, Família e Direitos Humanos ( @mdhbrasil )

. https://t.co/VY7Gy2anIR"
532,RT @rogeriosmarinho: Água é vetor de desenvolvimento. E para que ela chegue a todos em qualidade e quantidade ideal é preciso de cuidado. O governo @jairbolsonaro lançou o #ProgramaÁguasBrasileiras para apoiar iniciativas de preservação e recuperação das principais bacias do país. https://t.co/GfHfvYdUdX
533,@policiafederal Link no YouTube: https://t.co/zjGjTHI4Ha
534,"- Barra dos Coqueiros/SE.
- Parada não programada, 28/Jan/21.

- Sergipe/Alagoas: Abertura ao tráfego na ponte sobre o São Francisco nas obras de duplicação da BR-101/Nordeste. 

- Estrutura aguardava desde 2017 construção das vias de acesso. Obra retomada em 2019 e entregue! https://t.co/7t6X7VTW6i"
535,"RT @CarlosBolsonaro: O @govbr @jairbolsonaro realiza 1a concessão de Terminal Pesqueiro Público do Brasil, o TPP de Cabedelo/PB. Desde sua inauguração em 2014, nunca entrou em operação, gerando gastos públicos desnecessários com vigilância, sem trazer qualquer benefício para a comunidade pesqueira. https://t.co/TcLnGfayxS"
536,"- Parabéns à Honda por disponibilizar oxigênio de suas fábricas aos hospitais de Manaus/AM.

- Ações do @govbr relacionadas ao assunto, siga as redes sociais: @fab_oficial @minsaude @exercitooficial @DefesaGovBr @MInfraestrutura @marmilbr @secomvc , stories e telegram: https://t.co/hYdleinAj3"
537,"- Brasil e Índia, uma parceria que veio para ficar. @ItamaratyGovBr @ernestofaraujo @filgmartin https://t.co/wMP87hiolr"
538,"- Uma visão da política nacional.

. Link no YouTube: https://t.co/q56UbxLmA2"
539,"- @alexandregarcia : 29/janeiro: Manaus, assessor do Vice, CAGED, ...

. Link no YouTube: https://t.co/qSKFkDEbpQ"
540,"- Live de Quinta-feira - 28/01/2021 - Acompanhe pelo YouTube: https://t.co/wNFaIRBqO1

. Siga-nos em nosso telegram: https://t.co/O8KTejUGuL"
541,"- Divisa Sergipe/Alagoas junto ao @MInfraestrutura @tarcisiogdf . Abertura ao tráfego na ponte sobre o São Francisco nas obras de duplicação da BR-101/Nordeste. 

- Estrutura aguardava desde 2017 construção das vias de acesso. Obra retomada em 2019 e, enfim, sendo entregue! https://t.co/oybB8zoMyY"
542,"- Propriá/SE (28/01/2020).

. Link no YouTube: https://t.co/tSouZYJK5R https://t.co/ix1FvBnmKF"
543,"- Hoje às 18h30 o Ministro @WRosarioCGU (@CGUonline ) estará no programa ""Pingos nos Is"" falando sobre as compras de alimentos pelo Poder Executivo. Augusto Nunes o entrevistará, comigo ao lado.

- As 19h nossa live semanal.

Link no YouTube: https://t.co/vtyCFdDPUM"
544,RT @exercitooficial: Hospital do Exército dobra sua capacidade de envase de cilindro de oxigênio #EBPreservandoVidas https://t.co/OmtyWmewxs #BraçoForte #MãoAmiga https://t.co/pVnO8ObMQa
545,"Parabenizo o PR de Portugal, Marcelo Rebelo de Sousa, pela sua reeleição em 1º turno. Brasil e Portugal continuarão trabalhando juntos, com base em nossa irmandade profunda, por mais comércio, mais investimentos, mais segurança e mais democracia e pelo fortalecimento da CPLP.🇧🇷🇵🇹"
546,"@avozdobrasil @minsaude . Ações diárias do @govbr nesta linha de ação, siga as redes sociais: @secomvc @fab_oficial @DefesaGovBr @rogeriosmarinho @ebserh @policiafederal @MInfraestrutura @tvbrasilgov @PRFBrasil @DNIToficial @exercitooficial @minsaude @CGUonline @MinCidadania @mdhbrasil ..."
547,"RT @avozdobrasil: #COVID19| Ministro Eduardo Pazuello, do @minsaude, participa  da ampliação do Hospital Nilton Lins, em Manaus (AM), que agora conta com 30 leitos exclusivos. Hoje, o ministro entrega a Enfermaria de Campanha do Hospital Delphina Aziz.⬇️📺 #coronavirus 😷↔️😷 https://t.co/YQftmFuAmU"
548,"RT @SGPresidencia: O processo de modernização do Estado resultará em mais segurança jurídica para o País, além de melhoria do acesso e da qualidade dos serviços para o cidadão e dinamização do ambiente de negócios, em benefício dos empreendedores brasileiros. https://t.co/MZh50iHQDo"
549,"RT @rogeriosmarinho: Por orientação do presidente @jairbolsonaro, apresentamos os projetos do MDR a empresários e representantes de fundos de investimentos dos EUA. Temos uma carteira de investimentos em infraestrutura em torno de US$ 200 bilhões e que temos intenção de oferecer à iniciativa privada. https://t.co/gbk6Cn6l0V"
550,"- Índia, Dia da República.
- Brasília, 26/janeiro/2021.

. https://t.co/pKLLwWUbet"
551,"RT @policiafederal: A PF ajudando o Brasil na distribuição das vacinas contra Covid-19.
Coube à Polícia Federal, além da escolta, a segurança​ dos espaços de armazenamento da vacina, em todo o país.
Os grupos táticos atuaram diretamente na ação e o avião da PF também foi utilizado no transporte. https://t.co/PS0bPBoMiO"
552,RT @tarcisiogdf: Trecho que liga Mato Grosso ao Porto de Santos. Ganho em volume transportado sem aumento significativo de custo. Trabalho de elevar gabarito em viadutos e rebaixamento de trilhos. Ideia é ampliar p/ + rotas com investimentos contratados nas renovações de concessão e novos leilões https://t.co/Z6cMkFEI96
553,"RT @CarlosBolsonaro: A engenharia espacial do @inpe_mct / @mctic anunciou que o satélite Amazônia-1, o primeiro satélite de observação da Terra completamente projetado, integrado, testado e operado pelo Brasil no dia 28 de fevereiro de 2021, às 01h54 da manhã no Brasil. @govbr @jairbolsonaro (segue): https://t.co/2hy462whSa"
554,"- O @govbr lança o “Balcão Único” para simplificar a abertura de empresas. Por meio de um formulário único e totalmente digital, empreendedores podem abrir empresas em apenas um dia, diz @MinEconomia @DigitalGovBr @tvbrasilgov https://t.co/GYVIpalWAv"
555,@govbr @secomvc @minsaude 🤝
556,@portosdobrasil @marmilbr @santosportauth1 @govbr 🇧🇷🤝⚓️
557,@PRFBrasil 🇧🇷🤝
558,"- Agradeço a sensibilidade do Governo chinês, bem como o empenho dos Ministros @ItamaratyGovBr @ernestofaraujo , @minsaude Eduardo Pazuello e @Mapa_Brasil @TerezaCrisMS ."
559,"- Embaixada da China nos informou, pela manhã, que a exportação dos 5400L de insumos para a vacina Coronavac, aprovada e já estão em vias de envio ao 🇧🇷, chegando nos próximos dias.

- Assim também os insumos da vacina Astra-Zeneca que estão com liberação sendo acelerada. (Segue)"
560,"- Presidente do Tribunal de Justiça do MS e a volta ao trabalho...

https://t.co/4kHJq8I2pF https://t.co/qpHXVtmw3A"
561,"- Com a reversão de apreensões e recordes de operações, a categoria dos Agentes de Segurança Pública recebem mais investimento em inteligência, efetivo e poder de ação. Nesta fase, 232 novas viaturas reforçarão o Programa VIGIA em mais 13 estados. @JusticaGovBR @AmendoncaMJSP https://t.co/6tr5x8ZaPs"
562,"RT @TVBrasil: @laurojardim A Empresa Brasil de Comunicação (EBC) esclarece que adquiriu os direitos autorais do filme “Vamos Guarulhos” por R$ 14 mil (quatorze mil reais) e não por R$ 1,4 milhão como foi divulgado pela nota publicada neste domingo em O Globo."
563,@tarcisiogdf @DNIToficial @PRFBrasil 🇧🇷🤝
564,@fab_oficial @DefesaGovBr 🇧🇷
565,"- Se coloque no lugar dessa senhora.
- Vida e emprego andam juntos e devem ser tratados com semelhante responsabilidade. https://t.co/YjHSZt2IMQ"
566,"- Hoje, 200 mil pessoas já são alcançadas pela Adutora do Agreste, que já tem 68,8% das obras executadas. Quando totalmente concluída, serão atendidos mais de 2,2 milhões de moradores de 68 cidades pernambucanas. @mdregional_br @rogeriosmarinho @govbr @jairbolsonaro https://t.co/iezpALyPsW"
567,- Mais informações em: @minsaude @DefesaGovBr @marmilbr @exercitooficial @MEC_Comunicacao @mctic @ebserh @secomvc @MInfraestrutura @DNIToficial @casacivilbr
568,"- Base Aérea de Brasília alcançou, nesta madrugada,  a produção de 100.000 m3 de oxigênio em prol do povo de Manaus. @fab_oficial 

- Um esforço conjunto da White Martins, COMAE, COMPREP e OM subordinadas.

- Mais detalhes nos stories e timelines diárias das redes sociais! https://t.co/8Uyx6pQMeq"
569,"- Porque a Rede Globo persegue tanto a mim e minha família.
- Antonia Fontenelle foi casada com um diretor da Globo, ou seja, fala com propriedade.
- Tudo o que fiz foi evitar o desperdício de dinheiro público, em respeito ao povo brasileiro.

. YouTube: https://t.co/V8U5bEF9l8"
570,"- A cidade de Coribe, recebeu mais um ponto de internet pelo Programa Wi-Fi Brasil, alcançando produtores rurais e cerca de 500 famílias dos arredores.  Coribe totaliza 4 pontos instalados, ao todo, a Bahia já recebeu 1.809 pontos de conectividade via satélite. @mincomunicacoes https://t.co/gzUhfVi0rC"
571,"- Recebemos hoje 2 milhões de doses da vacina Astrazeneca/Oxford, vindas da Índia.
- Negociadas pelo @minsaude , e adquirida também por um grande número de países. https://t.co/VIVtE262SZ"
572,"RT @tarcisiogdf: Cada ponto foi uma obra entregue pelo @MInfraestrutura do Governo @JairBolsonaro em 2020. 92 entregas, 13 concessões, 1.468km de novo pavimento e 99.88% de execução do orçamento do ministério, dado importante para mostrar a eficiência na aplicação dos recursos alocados. https://t.co/VQhIUhWOer"
573,"RT @rogeriosmarinho: A Adutora do Agreste já atende 200 mil pessoas com água tratada e, com os recursos que o gov @jairbolsonaro tem destinado p/ a conclusão do empreedimento, mais 2 milhões de brasileiros serão beneficiados em 68 municípios de Pernambuco. Água é saúde, cidadania e direito do cidadão https://t.co/cDPLZu4zsS"
574,@secomvc 🤝🇧🇷
575,"Namaskar, Prime Minister @narendramodi

Brazil feels honoured to have a great partner to overcome a global obstacle by joining efforts. 

Thank you for assisting us with the vaccines exports from India to Brazil.

Dhanyavaad! धनयवाद"
576,"- Namaskar, Primeiro Ministro @narendramodi 

- O Brasil sente-se honrado em ter um grande parceiro para superar um obstáculo global. Obrigado por nos auxiliar com as exportações de vacinas da Índia para o Brasil.

- Dhanyavaad! धनयवाद https://t.co/OalUTnB5p8"
577,@tvbrasilgov 🇧🇷
578,@secomvc 🤝🇧🇷
579,- Obra em Fortaleza entregue depois de 20 anos de espera. Anel viário que liga a BR-222 que dá acesso a região norte do Ceará. @MInfraestrutura @tarcisiogdf @DNIToficial https://t.co/P6Vjff8Brb
580,"- Parada não prevista em Catolândia, o menor município da Bahia. https://t.co/1hS0ClMjAy"
581,"- Live da Semana - Presidente JAIR BOLSONARO - 21/01/2021. 

. Pelo youtube: https://t.co/ZXpWlte6Qv"
582,"- Coribe/BA, 21/janeiro/2021.
- Revitalização da BR-135.

. Link no YouTube: https://t.co/c6rVd2VPsx https://t.co/o7EsaEod9l"
583,- Meus cumprimentos ao @ItamaratyGovBr @ernestofaraujo e servidores pelo trabalho realizado.
584,"- NOVA DÉLHI, 21 Jan/Reuters/por Sanjeev Miglani - O governo da Índia liberou as exportações de vacinas contra a Covid-19, e as primeiras remessas serão enviadas nessa sexta-feira para o Brasil e Marrocos, disse o secretário de Relações Exteriores da Índia. https://t.co/LEoVphbwuj"
585,"- Tarifa sobre pneus, pedágios, caminhoneiros, etc...
- Hoje nossa live será às 18h.

. Link no YouTube: https://t.co/Iw4qSDBh7P https://t.co/vzQlSfm3m2"
586,"RT @Marceloscf2: Em apoio a saúde, a rota emergencial vai reduzir em até 6 dias o transporte terrestre de oxigênio e outros insumos de Porto Velho (RO) até Manaus (AM), pela BR-319/AM. Comboio seguirá pela rodovia não pavimentada com suporte de equipes do @DNIToficial e escolta da @PRFBrasil https://t.co/nqGwo38T4r"
587,"RT @MInfraestrutura: O @govbr libera agora para a população um novo trecho de 67 km na BR-135, entre os municípios de Jaborandi e Cocos/BA. Participam da cerimônia o presidente @jairbolsonaro, o ministro da Infraestrutura @tarcisiogdf e o diretor-geral do @DNIToficial, general Santos Filho. https://t.co/3N7q7EekkV"
588,"- Os Estados do Ceará e Rio Grande do Norte são os primeiros a aderirem, de forma voluntária, às Forças-Tarefas! @govbr"
589,"- Iniciadas as Forças-Tarefas SUSP:

- Polícias da União e dos Estados atuando de forma integrada, conjunta e coordenada, com foco nas ações de inteligência, análise, monitoramento e investigação de grandes organizações criminosas. @JusticaGovBR @AmendoncaMJSP https://t.co/F4NADabt1k"
590,https://t.co/z1EoAQdTFO
591,"Para marcar essa data, enderecei carta ao Presidente dos EUA, Joe Biden, cumprimentando-o por sua posse e expondo minha visão de um excelente futuro para a parceria Brasil-EUA:
🇧🇷🇺🇸"
592,"Cumprimento Joe Biden como 46º Presidente dos EUA. A relação 🇧🇷 e 🇺🇸 é longa, sólida e baseada em valores elevados, como a defesa da democracia e das liberdades individuais. Sigo empenhado e pronto para trabalhar pela prosperidade de nossas nações e o bem-estar de nossos cidadãos"
593,- Via @MInfraestrutura (Capitão @tarcisiogdf )
594,- A Ferrogrão cria uma integração ferrovia-hidrovia-portos e retira 1 milhão de toneladas de CO2 na atmosfera ao substituir por meios logísticos menos poluentes e de gigantesco porte. Missão começa a ser cumprida pelo @govbr em 2021 com o leilão de concessão. https://t.co/0kI44koc6e
595,"- Ações com investigações do @CGUonline @WRosarioCGU , @policiafederal ,com auxílio de outros órgãos públicos continuam diante das evidências com os recursos repassados pelo @govbr durante a pandemia. @JusticaGovBR @AmendoncaMJSP 

- Mais detalhes nas redes sociais mencionadas! https://t.co/nzVagSI0lS"
596,"RT @Astro_Pontes: Startup financiada pela @Finep/@MCTIc ganha prêmio internacional da @UN.

Leia a matéria completa em: https://t.co/rQ8xINYtHB

Abraços Espaciais 👍👍🇧🇷🇧🇷

#NinguémFicaPraTrás #JuntosSomosMaisFortes #InovaçãoéMCTI @jairbolsonaro @govbr @planalto @casacivilbr @secomvc #IV https://t.co/Gs7ASMIX8Q"
597,"RT @CarlosBolsonaro: O @govbr @jairbolsonaro levará para 10 estados o Projeto Espaço 4.0, alcançando mais de 6.000 jovens com cursos de capacitação nesta fase.

Espaço será equipado com cursos de tecnologia moderna e avançada, ofertando cursos de desenho 2D, impressão 3D,(segue o fio) @DamaresAlves https://t.co/k9wCINGXj3"
598,"- Nesta manhã recebi o Embaixador da Índia Suresh K. Reddy.
- Bom dia a todos. https://t.co/5eLacYvLms"
599,4- Mais informações sobre ações em todo Brasil nas redes sociais citadas: @MInfraestrutura @tarcisiogdf @DNIToficial @Marceloscf2 @exercitooficial
600,"3- O DNIT na divisa entre Sergipe e Alagoas segue trabalhando para liberar mais trechos duplicados na BR-101/SE. No momento, as obras seguem a execução da camada de Brita Graduada Tratada com Cimento em trecho da rodovia, no município de Japaratuba. @tarcisiogdf https://t.co/VbMXybBsVr"
601,"2- Continuidade à obra de adequação de capacidade da BR-230/PB em parceria com o 1º Batalhão de Engenharia de Construção do @exercitooficial está concluindo o revestimento asfáltico no viaduto do km 4,34 da rodovia federal. https://t.co/5zgAJXVUmg"
602,"1- Liberado o tráfego de veículos na travessia superior do viaduto do Gancho do Igapó. Com a liberação parcial do viaduto, não será mais necessário utilizar desvios para os fluxos de veículos que circulam nos sentidos Ceará-Mirim/Centro de Natal e no sentido oposto. @DNIToficial https://t.co/y14INtxJ8c"
603,@fab_oficial @DefesaGovBr Link no YouTube: https://t.co/HvIXet2jH0
604,"RT @tarcisiogdf: Como incentivar empresas de infraestrutura a adotarem práticas de combate à corrupção? Pensando nisso o @Minfraestrutura criou o selo Infra + Integridade. Ideia é premiar, estimular e construir o compromisso das empresas com ações de governança, sustentabilidade e transparência https://t.co/2KPOReqKLi"
605,- Link no YouTube: https://t.co/BsJubDkYWB
606,"-Na tarde de (16/01), um KC-390 decolou às 17h09 de Guarulhos/SP com destino a Manaus/AM, transportando mais 5 tanques de oxigênio líquido. Na noite do dia (16/01), a aeronave pousou às 19h40 no destino e descarregando o equipamento. 

-Mais informações nas postagens anteriores! https://t.co/dmqvOGmOLl"
607,RT @jairbolsonaro: https://t.co/Z2FYpReNpo
608,"RT @fab_oficial: #OperaçãoCOVID19
Na manhã de hoje (15/01), uma aeronave KC-390 da #FAB decolou de Recife/PE às 8h17 (horário de Brasília) transportando 8,5 toneladas de material hospitalar, camas, tendas, geradores e barracas para Manaus/AM em apoio à Operação #COVID19.
@DefesaGovBr
#Dimensão22 https://t.co/DKMFnwFXba"
609,"RT @fab_oficial: #OperaçãoCOVID19
Hoje (16/01), um C-130 da #FAB decolou de Guarulhos/SP, às 12h53, transportando duas usinas de oxigênio constituídas por compressores de ar para Parintins/AM.
A FAB permanece empenhada em sua missão.
@DefesaGovBr 
#FAB24hNoAr #COVID19 https://t.co/01Pcb0lg3w"
610,"- VERTENTE LITORÂNEA PARAÍBA. 

- Água para 600 mil nordestinos.

- Ministro @rogeriosmarinho  .
- @govbr @jairbolsonaro .
. @mdregional_br . https://t.co/QA7Csxl6MO"
611,RT @govbr: Aeronave da Azul que irá a Mumbai fará também transporte de cilindros para Manaus. Saiba mais: https://t.co/butzOWoJb1 https://t.co/QAc7Eu6Be8
612,"- Desde o início da pandemia o @govbr , além de recursos, enviou material humano e oxigênio para o Amazonas. @secomvc https://t.co/3d4PLNtVh8"
613,"- Governador do Amazonas: ""a ajuda do Governo Federal tem sido imprescindível nesse momento de luta pela vida."" @govbr 

. Link no YouTube: https://t.co/GNPMJuwkk3 https://t.co/B4RUErlVqL"
614,Há de se desenhar... https://t.co/bBSsMrxQvH
615,https://t.co/9mNriQseU5
616,"- Sempre que possível, reduziremos impostos para facilitar o acesso de insumos e bens necessários à população para o combate ao COVID-19. @MinEconomia"
617,"- A CAMEX se reuniu em caráter emergencial e reduziu para zero o imposto de importação de diversos itens como: respiradores automáticos, monitores de sinais vitais, sensores e tanques de O2.

- As medidas passam a valer a partir de amanhã, 16/janeiro."
618,"RT @fab_oficial: #OperaçãoCOVID19
O C-130 da #FAB decolou da Base Aérea de São Paulo às 20h27, com previsão de pouso em Manaus às 2h desta sexta-feira (15).
A FAB está empenhada 24 horas por dia e 7 dias por semana no cumprimento de sua missão.
Acesse: https://t.co/mXHk8fHuWl
@DefesaGovBr https://t.co/sML8FH26Bf"
619,"- Estudos clínicos demonstram que o tratamento precoce da Covid, com antimaláricos, podem reduzir a progressão da doença, prevenir a hospitalização e estão associados à redução da mortalidade. @alexandregarcia 

https://t.co/k3efrlNIPQ https://t.co/URPVnsHMIt"
620,"RT @minsaude: Em ação coordenada pelo @minsaude. Pacientes com #Covid19 internados em leitos clínicos em Manaus (AM) começaram a ser transferidos para oito capitais.

Já foram enviados 700 cilindros de oxigênio e 5.000 m³ de oxigênio líquido. Saiba mais:"
621,https://t.co/Z2FYpReNpo
622,"RT @DefesaGovBr: #OperaçãoCovid19 | Nesta quarta-feira (13), 20 barracas climatizadas, 20 climatizadores e três geradores, entre outros insumos de saúde foram transportados por duas aeronaves da @fab_oficial para a montagem de Hospital de Campanha em Manaus-AM

Saiba mais: https://t.co/YiA35bJfzt"
623,Live de quinta-feira (14/01/2020). https://t.co/siISlnIBk7
624,"- Reitor da Universidade de Pelotas.
- Simplesmente ASSISTA:
- Bom dia a todos. https://t.co/0KdJyGTozu"
625,@secomvc 🇧🇷
626,"RT @secomvc: Entre 2019 e 2020, o Programa de Parcerias de Investimentos realizou 65 leilões que vão gerar cerca de R$ 490 bilhões em investimentos nos próximos anos, além de R$ 98 bilhões em outorgas para a União. https://t.co/lqTa0Vv7RL"
627,"RT @minsaude: Para combater a Covid-19, a orientação é não esperar. Quanto mais cedo começar o tratamento, maiores as chances de recuperação. Então, fique atento! Ao apresentar sintomas da Covid-19, #NãoEspere, procure uma Unidade de Saúde e solicite o tratamento precoce. https://t.co/vU3SvfSuve"
628,"RT @AmendoncaMJSP: Hoje, em Natal/RN, iniciou-se a 1ª Operação integrada de combate ao tráfico de drogas e armas nos portos, aeroportos e rodovias do país. São cerca de 230 policiais e agentes públicos atuando. Essas operações serão um dos focos no combate ao crime organizado! (segue...)"
629,"RT @tarcisiogdf: BR-135/Piauí. Rota que cresce mt por conta da região produtora do Matopiba. Com apoio da bancada estamos alargando plataforma, intervenção simples que facilita vida dos caminhoneiros e tem grande impacto na segurança viária. Redução em cerca de 80% no número de acidentes fatais https://t.co/Ez0eXbtTc6"
630,Para mais informações siga as redes sociais: @MInfraestrutura @tarcisiogdf @DNIToficial @Marceloscf2 @portosdobrasil @exercitooficial @marmilbr @fab_oficial  @aviacaodobrasil https://t.co/nCrPAzriGU
631,"- Caixa Econômica Federal, 160 anos.

- Missão Velha/Ceará, quanto vale uma agência da @Caixa numa cidade do interior... https://t.co/xw76pYRCT5"
632,-* Inscreva-se em meu canal oficial no telegram*: https://t.co/O8KTejUGuL
633,"- Boa imprensa não é a que mais critica ou elogia, mas aquela que fala a verdade.

- Teremos a vacina de forma segura e eficiente, para todos os voluntários, depois de certificada pela @anvisa_oficial 

- Assista é só depois comente.

. Link no YouTube: https://t.co/C5f1LaKvc9"
634,"RT @CarlosNadalim: Excelente notícia! Em pouco tempo, o Brasil já é o segundo país no mundo em downloads do GraphoGame, atrás apenas da Noruega, que conta com aproximadamente 400 mil, em seis anos! https://t.co/UkhWAkAY4e"
635,RT @fabiofaria5555: Mais um ponto de Internet do projeto Wi-Fi Brasil. @mincomunicacoes @govbr @jairbolsonaro. 🤝🇧🇷 https://t.co/z83tHNXFvw
636,"RT @MInfraestrutura: Continuado agenda no Rio Grande do Norte, o ministro @tarcisiogdf visita as obras de duplicação e restauração da BR-304, no trecho conhecido como Reta Tabajara. A duplicação é fundamental para diminuir o número de acidentes na rodovia e facilitar o fluxo de 70 mil veículos. https://t.co/F8Bh7i8sXW"
637,@rogeriosmarinho Link no YouTube: https://t.co/WeUx1OTEen
638,"- Acordo com o Japão para o desenvolvimento de tecnologias com o GRAFENO e o NIÓBIO.

- Temos a matéria prima e eles a tecnologia. Vamos agregar valor nesse acordo.

. @mctic @Astro_Pontes @ItamaratyGovBr @ernestofaraujo https://t.co/6I79dmtOZl"
639,. Link no YouTube: https://t.co/ObNhF6ScxZ
640,. Link no YouTube: https://t.co/DL7aD5EnUh
641,Um Bom dia a todos! https://t.co/AhreQOP4W2
642,. Link no YouTube: https://t.co/4nn4f8MLZk
643,- O edital do concurso histórico da @policiafederal deverá ser publicado ainda este mês!
644,"- Desde o início, o @govbr destina recursos a estados para equipamento e inteligência da Forças de Segurança. Com recordes nas operações, a @policiafederal recebe investimentos para equipamentos especiais no enfrentamento às facções criminosas. @JusticaGovBR https://t.co/InqNC4cjlz"
645,"- O Brasil não pode parar! Programa Amazônia Conectada: avanços em fibra ótica alcança comunidades mais afastadas. Viabilização do acesso à conexão de internet com esforço interministerial entre o @mincomunicacoes , @mctic e @DefesaGovBr . Detalhes: https://t.co/HloWlRorIW"
646,@mctic @ItamaratyGovBr @govbr @secomvc @Minas_Energia 🤝🇧🇷
647,"- Barragem de Oiticica.

- Água para o Rio Grande do Norte.

- @mdregional_br @rogeriosmarinho 

. Link no YouTube: https://t.co/RNo6GuZ5IJ https://t.co/D1Sb5SKvNW"
648,"- Encontro com Motegi Toshimitsu, Ministro dos Negócios Estrangeiros do Japão, nosso parceiro mais tradicional na Ásia com fortes laços culturais.

- Fui convidado para a abertura das Olimpíadas de Tokio em julho.

. @ItamaratyGovBr @ernestofaraujo 

. https://t.co/DJB16N52eG https://t.co/vOIENpysRs"
649,"- Programa de Aquisição de Alimentos em 2020 alcançou mais de 70 mil pequenos produtores: 150 mil toneladas de alimentos comprados e chegando para cerca de 12 milhões de consumidores. 

- A capilarização do serviço localiza os pequenos e faz economias locais se desenvolverem. https://t.co/0AEx2mn7qF"
650,"RT @rogeriosmarinho: Alô, povo cearense! O gov @JairBolsonaro autorizou a Cagece a captar recursos com incentivo fiscal para investir na ampliação de sistemas de abastecimento de água, em redução de perdas e no esgotamento sanitário em 20 cidades do estado. 2,5 milhões de pessoas serão beneficiadas https://t.co/g6uhbvihfy"
651,"- LIVE COM O PRESIDENTE- 07/01/2021

. ACOMPANHE PELO NOSSO CANAL NO YOUTUBE: https://t.co/ioBNLRKz9I"
652,"Publicada mais uma resolução que zera impostos, desta vez o da importação de seringas e agulhas. @tvbrasilgov. https://t.co/Wo69b8ag5f"
653,"- O restabelecimento da verdade sobre a vacina no Brasil. @minsaude 
- Na live das 19h mais verdades.
- Bom dia a todos.

. Link no YouTube: https://t.co/zmSB0HsQkB"
654,"@tarcisiogdf @MInfraestrutura @portosdobrasil @santosportauth1 🤝, Capitão!"
655,@secomvc @EconomiaSepec @MinEconomia 🇧🇷
656,@govbr @MEC_Comunicacao 🤝🇧🇷
657,https://t.co/lZTec45Xvy
658,"- DUT DIGITAL: brevemente a transferência de veículos será digital.

- Ministro @tarcisiogdf .
- Secretário @Marceloscf2 .
. @MInfraestrutura 

. Link no YouTube: https://t.co/h0NpwuDbO1 https://t.co/Nh688UHXp4"
659,"RT @rogeriosmarinho: Em 2020, o presidente @JairBolsonaro também sancionou o marco legal do saneamento, que trouxe segurança jurídica para os investidores e vai permitir a universalização dos serviços de água e esgoto até 2033. O potencial é de atrair R$ 700 bilhões em investimentos. https://t.co/5UzsP1CeKw"
660,"Fundo Nacional Antidrogas fecha 2020 com maior arrecadação em 5 anos. 

Estes e outros recursos de combate ao narcotráfico estão sendo revertidos em equipamento e inteligência das Forças de Segurança do Brasil como sempre explicitados. @JusticaGovBR @PRFBrasil @policiafederal"
661,"- Conceituada revista científica internacional atesta que o medicamento antiviral nitazoxanida é capaz de reduzir a carga viral em pacientes infectados pelo coronavírus. Saiba mais em https://t.co/DvnjO99EO1

. No YouTube: https://t.co/uCDMpt4WgM

. @mctic @Astro_Pontes https://t.co/0e4AE77ahK"
662,"*- Uma das possíveis causas é um programa da OMS, desde 1995, de controle da Oncocercose (cegueira do rio).*

*- Presidente JAIR BOLSONARO.*"
663,"*- TABELA DA OMS DE 04/JAN/2021.*

*- Nota-se a baixíssima taxa de óbitos por Covid em países africanos (no Brasil são 923/milhão/hab em 03/jan/21).*

*- No Programa, a distribuição em massa da IVERMECTINA pode ser a responsável pela baixa mortalidade da Covid-19 nesses países.* https://t.co/vC9qzubDtg"
664,"- O Decreto 10.592 é um marco importante, implicando a modernização no processo com a utilização de tecnologia desde o início, o cruzamento dos bancos de dados e o sensoriamento digital. @planalto @secomvc"
665,"- Além de mais um Decreto publicado em 28/12 estabelecendo as regras e procedimentos para a regularização fundiária de áreas rurais em terras da União e do @Incra_oficial . As mudanças simplificam os processos, trazendo mais agilidade, segurança e transparência. @secomvc"
666,"- Em 2020, produtores rurais que esperavam há décadas pela regularização de suas terras receberam títulos. Foram mais de 100 mil títulos emitidos pelo @govbr . Programa Titula Brasil agiliza regularização fundiária no país. @Mapa_Brasil @TerezaCrisMS 

. https://t.co/YixsrBgic9 https://t.co/hIUZjXIdSu"
667,"- O tratamento precoce salva vidas.

- A vacina emergencial (depois de certificada pela @anvisa_oficial ), e não obrigatória, está a caminho.

. Link no YouTube: https://t.co/vh7YxKBKfI"
668,"RT @CarlosBolsonaro: Dos 4.000 serviços do @govbr , 2.600 estão digitalizados. 1.084 nos últimos 24 meses, entre eles, a Carteira de Trabalho e a Carteira de Trânsito, sendo os aplicativos mais solicitados. Economia e desburocratização ao brasileiro, ao estado e avanços em linhas ecológicas (segue) https://t.co/8ozpAqIpxY"
669,"- Retornando para Brasília.
- Obrigado Guarujá.
- Um abraço Baixada Santista.

. Link no YouTube: https://t.co/potHpfpQdf https://t.co/On0CUcASAO"
670,"-Com grandes obras, a água já está chegando às regiões mais secas, mas é preciso fazer mais. O @govbr lança o programa Águas Brasileiras, com ações de preservação e de recuperação, cuidando das nascentes, recuperando áreas degradadas e levando água e saneamento para quem precisa. https://t.co/MdnAzSSbMd"
